cohort,anon_id,Post,Pre,ILA,CAP,FAC,took_FAC
2021,Sd6557fd9,83.25,76.25,72,NA,NA,No FAC
2021,S588c5d23,72.63,72.13,67,NA,NA,No FAC
2021,S0c68fd39,58.5,65.38,70,NA,NA,No FAC
2021,S7c19b123,96.38,97,80,NA,NA,No FAC
2021,Sfb54025d,80.75,79.63,77,NA,NA,No FAC
2021,Sb30591fd,82,67.5,61,NA,NA,No FAC
2021,S0a3a0c62,58.25,55.75,74,NA,NA,No FAC
2021,Sf698dacb,99.38,94.5,93,NA,NA,No FAC
2021,S9e758c76,81.5,75.25,78,NA,NA,No FAC
2021,S99362a2a,79.5,68.5,88,NA,78,FAC
2021,S0cbd6025,70.25,NA,71,NA,NA,No FAC
2021,S669173a7,100,90,89,NA,NA,No FAC
2021,S6a3916e0,93.75,85.75,89,NA,NA,No FAC
2021,S911f5572,80.75,86,82,NA,NA,No FAC
2021,S22ef0716,97,90,87,NA,NA,No FAC
2021,S5f4c8651,90,NA,89,NA,NA,No FAC
2021,S87d625d6,92.38,89.38,98,NA,NA,No FAC
2021,Seb3eae7a,84.5,80.5,88,NA,NA,No FAC
2021,S6c5e09e4,67.75,67.75,55,NA,NA,No FAC
2021,S74cb4869,53.5,57.5,65,NA,NA,No FAC
2021,S020a21cf,89.5,NA,NA,NA,NA,No FAC
2021,S578a539a,94.5,NA,NA,NA,75,FAC
2021,S7be3b8ef,56.5,56,61,NA,NA,No FAC
2021,S8cfa8733,33.75,26.38,61,NA,NA,No FAC
2021,S7ae36526,85.75,62.75,69,NA,83,FAC
2021,S4f425c32,75.88,NA,24,NA,49,FAC
2021,S070db9a4,89,98.38,87,NA,NA,No FAC
2021,Sb1108e0a,86.5,89.5,72,NA,NA,No FAC
2021,S4a0a78ed,57.75,74.5,62,NA,NA,No FAC
2021,S4c194aeb,88.88,85.75,74,NA,NA,No FAC
2021,Sf13c9cbf,78.13,74,67,NA,NA,No FAC
2021,S6320ace8,8.75,NA,51,NA,NA,No FAC
2021,Sc53ad465,82.63,62.63,69,NA,NA,No FAC
2021,Sc91d3169,85.25,81,78,NA,NA,No FAC
2021,Sd5a6f9e6,78.38,84.5,93,NA,NA,No FAC
2021,Sba083400,75.88,57,NA,NA,NA,No FAC
2021,S2610df04,88,100,96,NA,NA,No FAC
2021,S533a8ee7,75.13,NA,NA,NA,70,FAC
2021,S99456b4d,71.25,NA,NA,NA,68,FAC
2021,S9227f60d,82,94.38,83,NA,NA,No FAC
2021,Sfcf425b2,97,96.38,97,NA,NA,No FAC
2021,S0165563b,98.75,NA,NA,NA,NA,No FAC
2021,Sf682ae9b,83,NA,84,NA,NA,No FAC
2021,Sdd7d8dc3,64.5,NA,NA,NA,NA,No FAC
2021,Se0f484e4,90.5,100,92,NA,NA,No FAC
2021,Sabcb12dc,78.25,57.13,78,NA,76,FAC
2021,Sca5ecb53,81,28.75,68,NA,50,FAC
2021,See6e4d1d,94.38,90.25,82,NA,87,FAC
2021,Sc7e7e32c,95,85.75,86,NA,88,FAC
2021,S9722dd8e,92,97,75,NA,NA,No FAC
2021,S801bc876,90,94.38,86,NA,NA,No FAC
2021,S49100e8d,75.75,49.75,73,NA,73,FAC
2021,S8590dda8,92,52.5,67,NA,NA,No FAC
2021,S81a6530b,91.38,96.25,87,NA,NA,No FAC
2021,S4471a814,95,92.75,93,NA,NA,No FAC
2021,S4426f420,100,85.13,96,NA,NA,No FAC
2021,S966bf063,81.38,69.88,90,NA,NA,No FAC
2021,Sa1a7eda5,90,81,84,NA,NA,No FAC
2021,Sdb41ad75,81,82.5,90,NA,NA,No FAC
2021,S996da020,97.5,94,91,NA,NA,No FAC
2021,Sfc8821f6,85,73.5,71,NA,NA,No FAC
2021,S88329c75,77,78,73,NA,NA,No FAC
2021,S55e1b367,76.5,81.5,64,NA,NA,No FAC
2021,S28bbec98,68.5,56.5,66,NA,NA,No FAC
2021,S2df36ba3,81.38,40.5,69,NA,NA,No FAC
2021,Sbb0ed0f8,62.75,53.38,58,NA,NA,No FAC
2021,Sc9df3aa2,77,67.25,78,NA,NA,No FAC
2021,S255c5179,77.88,73.13,82,NA,NA,No FAC
2021,S3fcccaa6,90,83.75,82,NA,NA,No FAC
2021,S0ce8bc8d,78,83.75,80,NA,NA,No FAC
2021,Scb6dc1f4,73.38,NA,NA,NA,77,FAC
2021,S1cea0568,77,50.5,74,NA,NA,No FAC
2021,Sd64b1fb3,100,99.38,89,NA,NA,No FAC
2021,S98e92867,100,95.63,80,NA,99,FAC
2021,S5d0611ca,65.25,64.5,64,NA,NA,No FAC
2021,S2e3ec05a,95,95,86,NA,NA,No FAC
2021,S2fe963ee,81.25,NA,77,NA,NA,No FAC
2021,S1d7738fb,67.13,53.25,77,NA,NA,No FAC
2021,S3846074c,66.5,55,60,NA,NA,No FAC
2021,S27c7c908,73.88,69.88,75,NA,NA,No FAC
2021,S6e92dbfd,87,NA,79,NA,NA,No FAC
2021,S13e5f31f,100,92,96,NA,NA,No FAC
2021,Se3c6e3cf,92,86.25,96,NA,NA,No FAC
2021,S9da933a2,92,58.75,82,NA,99,FAC
2021,S702a3008,90.75,92.5,71,NA,NA,No FAC
2021,S5de67aa6,50.5,49.63,46,NA,NA,No FAC
2021,S2e95f2c5,100,100,97,NA,NA,No FAC
2021,S6ba0d40b,77.25,NA,NA,NA,NA,No FAC
2021,S1777ed21,92,89.75,92,NA,NA,No FAC
2021,S7c47a061,87,82,86,NA,78,FAC
2021,S1a9f6c21,80.75,75.5,74,NA,NA,No FAC
2021,Secea72d2,86.5,83.5,89,NA,NA,No FAC
2021,S6bddd782,85,68.13,70,NA,66,FAC
2021,Sba880015,54.13,43.75,63,NA,NA,No FAC
2021,Scb54a76f,83.13,81.13,70,NA,NA,No FAC
2021,S94185f99,81.63,NA,NA,NA,65,FAC
2021,S7456c7ad,100,83.25,90,NA,NA,No FAC
2021,S9aa8817b,86.88,90.75,NA,NA,NA,No FAC
2021,Sc92253c4,72.38,69,75,NA,NA,No FAC
2021,S35657549,95,82,75,NA,NA,No FAC
2021,S5b3bcbaf,72,65.75,47,NA,44,FAC
2021,Sab43cf96,88.5,85.75,84,NA,NA,No FAC
2021,Sa55c9435,95,95,86,NA,NA,No FAC
2021,Sf114d30e,82.5,67.88,87,NA,NA,No FAC
2021,S24991a63,81,75.5,89,NA,NA,No FAC
2021,Se548cc8d,92,100,67,NA,NA,No FAC
2021,Sa9b4dea0,70,NA,NA,NA,NA,No FAC
2021,Sa89532da,91,98.13,83,NA,NA,No FAC
2021,S0afa2aa2,92,95,97,NA,NA,No FAC
2021,Scf332f34,92,84,52,NA,NA,No FAC
2021,S268e4b62,57.88,NA,77,NA,50,FAC
2021,Sd0c4f725,87,79.75,73,NA,NA,No FAC
2021,S62429db0,90,NA,76,NA,NA,No FAC
2021,Sf8b54797,99,82.63,82,NA,NA,No FAC
2021,Sb917011e,97,95,96,NA,NA,No FAC
2021,S11fe2ada,55.25,NA,NA,NA,NA,No FAC
2021,S97421077,95,92,88,NA,NA,No FAC
2021,Sa2912b0c,65,83.88,75,NA,NA,No FAC
2021,S3e949cf8,92,100,94,NA,NA,No FAC
2021,S18016f18,87.88,NA,14,NA,NA,No FAC
2021,Sc67c5e55,53.5,62.5,30,NA,NA,No FAC
2021,S8a696a62,53.75,75.25,69,NA,63,FAC
2021,S6340485a,62.25,74,41,NA,NA,No FAC
2021,S73fe1322,77.5,NA,NA,NA,87,FAC
2021,Sd6dce19b,83.88,85.75,80,NA,NA,No FAC
2021,S4abe10d2,93.38,85,NA,NA,NA,No FAC
2021,S3a751987,17.5,87.5,74,NA,NA,No FAC
2021,Sbdd5c623,100,89,88,NA,NA,No FAC
2021,S6dcc2fae,92,71.88,90,NA,NA,No FAC
2021,S330baf84,94.5,82.88,83,NA,NA,No FAC
2021,S6f792a1d,88,76.38,95,NA,71,FAC
2021,S70236b22,82,73.5,85,NA,NA,No FAC
2021,Sf53d3a0a,61.63,47,67,NA,NA,No FAC
2021,S5bfa9f03,84.5,NA,NA,NA,88,FAC
2021,S897d6f88,82.75,86.88,76,NA,NA,No FAC
2021,S4895a63f,95,92,88,NA,NA,No FAC
2021,S6f84ecfc,100,96,94,NA,NA,No FAC
2021,S39bd6fe3,31.25,NA,NA,NA,NA,No FAC
2021,Sd8fdee3c,52,31,41,NA,51,FAC
2021,S9aeaa8f9,79,86.38,58,NA,NA,No FAC
2021,S9fb9e9e7,95,100,93,NA,NA,No FAC
2021,Se4a6c9bb,31.5,NA,51,NA,NA,No FAC
2021,Sb51f2e94,22.5,NA,18,NA,NA,No FAC
2021,Sc8e16949,81.38,86.88,84,NA,NA,No FAC
2021,S3e89d654,78.88,80.25,78,NA,NA,No FAC
2021,S0032b62b,95.13,NA,NA,NA,NA,No FAC
2021,S4db513fe,93.25,92,79,NA,NA,No FAC
2021,S2856961e,86.25,63,74,NA,NA,No FAC
2021,S4e3055d1,73.25,75.5,55,NA,NA,No FAC
2021,S4c193f4a,94.38,93.88,86,NA,NA,No FAC
2021,S3a2ecd77,95,NA,56,NA,65,FAC
2021,Sadff78d1,57,NA,NA,NA,NA,No FAC
2021,S8d1b3828,64.5,NA,71,NA,NA,No FAC
2021,Scb0398a6,90,100,99,NA,NA,No FAC
2021,Sdd1b5e33,50.75,46.75,67,NA,NA,No FAC
2021,Sbcf56b41,95,100,96,NA,NA,No FAC
2021,Sd7a9f1bc,78.75,49,87,NA,NA,No FAC
2021,S022813f1,76.5,NA,65,NA,NA,No FAC
2021,S808274b0,66,77.75,67,NA,NA,No FAC
2021,Se129e304,98.75,94.5,87,NA,NA,No FAC
2021,S5963156e,90,NA,NA,NA,NA,No FAC
2021,S8a207d67,80.88,92,90,NA,NA,No FAC
2021,S4ec1ae4c,90,95,87,NA,NA,No FAC
2021,S99a5a1d5,53.5,NA,NA,NA,NA,No FAC
2021,Sf54f0562,95,82.88,89,NA,NA,No FAC
2021,Sd3e36d07,95,NA,70,NA,NA,No FAC
2021,Se1a9d711,77.75,75.75,64,NA,NA,No FAC
2021,Sdd09e867,83.38,59,69,NA,87,FAC
2021,Sfffe23cf,97.5,85,92,NA,NA,No FAC
2021,Sc6363d6c,87,81.13,89,NA,NA,No FAC
2021,S4706ade0,83.88,67.5,74,NA,NA,No FAC
2021,Sdda49668,100,63.75,88,NA,NA,No FAC
2021,S34689c42,51.38,66.38,75,NA,NA,No FAC
2021,Sb77fcde9,88.88,98.75,74,NA,NA,No FAC
2021,S80d6a1a6,89.5,60.25,41,NA,48,FAC
2021,S26a00c86,76.88,73.88,71,NA,NA,No FAC
2021,Sa128adf7,76.5,83,NA,NA,100,FAC
2021,S8a7d86fa,79,67.5,28,NA,NA,No FAC
2021,Sf9378340,81.25,NA,NA,NA,85,FAC
2021,Sc2a7aa70,88.25,75.75,66,NA,NA,No FAC
2021,Sd5aa7122,86.5,57.38,66,NA,NA,No FAC
2021,Sfceba957,94.5,71.38,63,NA,NA,No FAC
2021,S3408c12b,85,62,66,NA,NA,No FAC
2021,S9307dda3,97.5,NA,NA,NA,84,FAC
2021,S190c5056,95,100,85,NA,NA,No FAC
2021,Se3c791a3,92.75,NA,NA,NA,NA,No FAC
2021,S79427a9f,78.25,79,78,NA,NA,No FAC
2021,Sb84d8926,95,85.75,96,NA,NA,No FAC
2021,S1569314f,89.38,NA,NA,NA,88,FAC
2021,Sbc10a662,82.88,56,77,NA,NA,No FAC
2021,Sbafa2752,88.5,85.25,81,NA,NA,No FAC
2021,S71d2d185,95,90.63,94,NA,NA,No FAC
2021,S95b3c56e,85,72,81,NA,NA,No FAC
2021,S49e32966,88.75,95,80,NA,NA,No FAC
2021,S549141ca,58.25,NA,82,NA,NA,No FAC
2021,Scb369dbb,94,95,93,NA,NA,No FAC
2021,S9e172841,75.5,82.38,80,NA,NA,No FAC
2021,S35f0079e,73.75,NA,NA,NA,NA,No FAC
2021,S2580e2ee,55.63,0,NA,NA,66,FAC
2021,S5fbfe91c,91,71.38,11,NA,NA,No FAC
2021,Sf1e11b91,89.5,NA,75,NA,71,FAC
2021,S4252a7a3,77,80.5,79,NA,NA,No FAC
2021,S07665e96,92.5,NA,NA,NA,NA,No FAC
2021,S00b42b9f,76,NA,64,NA,NA,No FAC
2021,S060ab1d3,77.88,60,72,NA,NA,No FAC
2021,S01e1d993,100,100,98,NA,NA,No FAC
2021,S7af599b2,79.5,79,82,NA,NA,No FAC
2021,S7663fa68,61,63.25,NA,NA,NA,No FAC
2021,S4465e768,78.5,NA,88,NA,NA,No FAC
2021,S33b677d3,100,82.75,97,NA,NA,No FAC
2021,Sbd0d3107,45,61.5,54,NA,NA,No FAC
2021,Sc0565432,95,98.75,90,NA,NA,No FAC
2021,S802253f3,82,NA,NA,NA,NA,No FAC
2021,Sbbfe7e31,90,89.5,85,NA,NA,No FAC
2021,Sb6af50a1,63.75,64,86,NA,NA,No FAC
2021,Se50e2770,97,95,74,NA,NA,No FAC
2021,S4f6c8956,75,60,81,NA,NA,No FAC
2021,S22bc4f18,67.5,62.5,84,NA,NA,No FAC
2021,Sbd2f87e5,89,67.63,80,NA,NA,No FAC
2021,Sb8c2c974,80,51,77,NA,68,FAC
2021,S4d5c5619,87.5,83.13,78,NA,NA,No FAC
2021,S169f649e,92,81.25,78,NA,72,FAC
2021,S70c1fb00,81.38,57.5,74,NA,NA,No FAC
2021,S9cd7ec7f,87.75,NA,80,NA,NA,No FAC
2021,S3b973bf2,96.25,82,79,NA,NA,No FAC
2021,Sd215cc74,79,NA,78,NA,63,FAC
2021,S90fc6af5,95.13,92,83,NA,NA,No FAC
2021,S4304942b,51.5,100,82,NA,54,FAC
2021,S563f4245,88.88,78.75,74,NA,NA,No FAC
2021,S7d1633f6,86.88,91.75,84,NA,NA,No FAC
2021,S00ce8809,99.38,97.5,83,NA,NA,No FAC
2021,S05967f2f,88,79.75,74,NA,NA,No FAC
2021,Secc1495f,97,92,71,NA,NA,No FAC
2021,Sce66f663,90.75,95,75,NA,NA,No FAC
2021,Sea1c4dee,95.5,95,77,NA,NA,No FAC
2021,S6143c8c4,97,69.25,86,NA,100,FAC
2021,S2d19c49b,47.75,51.25,59,NA,NA,No FAC
2021,S28bf9b5f,84,74.5,90,NA,NA,No FAC
2021,S54124945,72.25,82.75,73,NA,NA,No FAC
2021,S4ce8fbc0,65.63,NA,39,NA,NA,No FAC
2021,S69b6e13a,88.13,58,67,NA,NA,No FAC
2021,Sbc208d8f,64.75,NA,59,NA,NA,No FAC
2021,S56c01c17,80.25,57,78,NA,62,FAC
2021,Sfdfa1512,75.25,77.63,69,NA,NA,No FAC
2021,S1c08f6b7,73.25,NA,NA,NA,NA,No FAC
2021,S25237ffb,37.5,NA,4,NA,51,FAC
2021,S7c109fa8,78.25,72.63,55,NA,17,FAC
2021,Sbf164b26,85.63,75.25,83,NA,NA,No FAC
2021,S06e783f3,72.5,57,75,NA,NA,No FAC
2021,S09b268d3,87,68.25,82,NA,NA,No FAC
2021,S35eb248a,85.25,81.5,74,NA,NA,No FAC
2021,Sbf3e8c28,66,92,NA,NA,NA,No FAC
2021,S41376dc1,75,85,78,NA,NA,No FAC
2021,S4ab4d486,73.63,50,65,NA,64,FAC
2021,Sff40a4ff,92,97,94,NA,NA,No FAC
2021,Sf96468aa,86.25,74.25,69,NA,NA,No FAC
2021,Se29065ff,59.75,63.75,49,NA,NA,No FAC
2021,S902d5818,88.88,NA,68,NA,NA,No FAC
2021,S0176521a,85,72.25,83,NA,78,FAC
2021,S14e5e5ef,69.63,26,10,NA,0,FAC
2021,S434a98fa,71.38,58,87,NA,NA,No FAC
2021,S0694e5ac,77,76.63,81,NA,NA,No FAC
2021,S4c085ec6,90,89,83,NA,NA,No FAC
2021,S8bb7da5a,87,92,76,NA,NA,No FAC
2021,S2f2334c2,82.63,85.75,87,NA,NA,No FAC
2021,Se6bdca58,76.38,NA,63,NA,NA,No FAC
2021,S6ae331d1,88.25,69.75,84,NA,NA,No FAC
2021,S0f40f81e,73.75,NA,69,NA,NA,No FAC
2021,S34ec07a6,71,78.75,64,NA,NA,No FAC
2021,Sc0eb1286,67.5,NA,75,NA,NA,No FAC
2021,S45069728,85.88,73.88,88,NA,NA,No FAC
2021,S7ec1c704,88.88,75.88,76,NA,NA,No FAC
2021,S223e23a7,90.75,94.38,72,NA,NA,No FAC
2021,S55337d09,84.75,88.38,88,NA,NA,No FAC
2021,S81ef5252,69,45.5,77,NA,NA,No FAC
2021,S424011f7,84.63,NA,NA,NA,NA,No FAC
2021,Se12824d0,75.63,NA,72,NA,NA,No FAC
2021,S1caac1f8,98.75,89.5,92,NA,NA,No FAC
2021,S81e34475,89,96,93,NA,NA,No FAC
2021,Sf6feaadf,89,NA,73,NA,NA,No FAC
2021,S10be863b,92,85.5,72,NA,NA,No FAC
2021,Se286f4e5,75.25,NA,NA,NA,NA,No FAC
2021,Se3b51b73,91.25,98.75,79,NA,NA,No FAC
2021,S6c4932a4,92.5,NA,85,NA,87,FAC
2021,Sbcc91e2d,95.75,94.5,84,NA,NA,No FAC
2021,S21848f9a,87.13,83,78,NA,NA,No FAC
2021,Sa12b4728,90,95,89,NA,NA,No FAC
2021,Sc67362b4,69,69.5,72,NA,NA,No FAC
2021,S299ced86,44.5,73.5,79,NA,NA,No FAC
2021,S3ed8b351,74,77,72,NA,NA,No FAC
2021,S52d96956,84,75.25,87,NA,NA,No FAC
2021,S0cfcbb57,81.63,79.63,67,NA,NA,No FAC
2021,S1c247969,91.75,67,85,NA,69,FAC
2021,S0180b043,81.5,NA,95,NA,NA,No FAC
2021,S774e7be7,67.25,71.38,64,NA,NA,No FAC
2021,Scf49391a,87.63,86.38,73,NA,NA,No FAC
2021,S1d564f9d,72,NA,NA,NA,NA,No FAC
2021,S286b0ffd,54,NA,NA,NA,NA,No FAC
2021,Sef29ee64,51.75,NA,60,NA,12,FAC
2021,Sb4a9158d,97,83,96,NA,100,FAC
2021,Sccd281bc,87,78.75,82,NA,NA,No FAC
2021,S9691b1a5,5,38,45,NA,NA,No FAC
2021,S90b9e368,88.75,72.63,80,NA,NA,No FAC
2021,S543ca126,72.75,NA,80,NA,NA,No FAC
2021,Sf64ad4bc,76,NA,68,NA,50,FAC
2021,S1a5384f0,100,81.25,97,NA,88,FAC
2021,Sb8e78f00,49,NA,NA,NA,NA,No FAC
2021,S8b299879,62.75,43,59,NA,NA,No FAC
2021,Sdfd61504,90,84,74,NA,NA,No FAC
2021,S928c2fd0,53.75,72.25,71,NA,NA,No FAC
2021,S125a8570,61.25,66.25,70,NA,NA,No FAC
2021,Sba25f8d6,57.5,NA,NA,NA,NA,No FAC
2021,S68875a65,30.13,NA,NA,NA,3,FAC
2021,Sb8500393,67,76.25,75,NA,NA,No FAC
2021,S4c564f84,67,NA,NA,NA,NA,No FAC
2021,S4c0deed5,84,77,79,NA,NA,No FAC
2021,S8c967bd5,78.25,74.88,53,NA,NA,No FAC
2021,S39ff16e8,100,93.88,80,NA,NA,No FAC
2021,S4701e6bd,95,100,62,NA,NA,No FAC
2021,S9d2138ad,87,90,88,NA,NA,No FAC
2021,S860e0358,61.25,53,59,NA,NA,No FAC
2021,Sd8e86694,85.13,90.75,89,NA,NA,No FAC
2021,S098fb7e5,70.25,73.25,77,NA,NA,No FAC
2021,S02ae23d2,76.25,NA,82,NA,NA,No FAC
2021,S9ff377c0,83.25,NA,69,NA,NA,No FAC
2021,S185f0bfb,32,29.5,48,NA,NA,No FAC
2021,S7eb421b1,89,83.88,77,NA,71,FAC
2021,Sfa5d79a0,87,80.38,86,NA,NA,No FAC
2021,S6a06c1f5,92,57,86,NA,98,FAC
2021,S8b78eb20,96.38,89,91,NA,NA,No FAC
2021,S11e6d065,93.25,96.38,88,NA,NA,No FAC
2021,Sc7c995ac,97.5,90.5,74,NA,NA,No FAC
2021,S37d7dc86,85,NA,78,NA,NA,No FAC
2021,Scdc55a32,72.75,89,84,NA,99,FAC
2021,Sc0ba9cc1,76.5,NA,61,NA,NA,No FAC
2021,Sbffd566b,88.13,77.5,88,NA,NA,No FAC
2021,S31739d1d,73.25,NA,75,NA,NA,No FAC
2021,S87266c3e,68.38,NA,69,NA,NA,No FAC
2021,Sa705eccd,85.13,80.38,73,NA,NA,No FAC
2021,Sf09bbfe8,92,84.5,85,NA,NA,No FAC
2021,Sae955474,46,61.75,76,NA,NA,No FAC
2021,S7d0727db,97,95,85,NA,NA,No FAC
2021,S94ac0aa1,41.88,NA,69,NA,NA,No FAC
2021,Sd6421600,95.75,NA,94,NA,NA,No FAC
2021,Sd555c851,90.75,NA,84,NA,NA,No FAC
2021,Se03b2b7d,88.5,62.75,57,NA,NA,No FAC
2021,S0f64e92e,81,67.25,81,NA,NA,No FAC
2021,S714fa14f,72,NA,65,NA,NA,No FAC
2021,S5e153c80,95,96,86,NA,NA,No FAC
2021,S8d7c0924,95,89,73,NA,NA,No FAC
2021,S354f4909,70.5,72.88,68,NA,NA,No FAC
2021,S79ed613d,79,44.5,71,NA,58,FAC
2021,S3c11d15b,65,NA,68,NA,NA,No FAC
2021,S32dd079e,97,82.75,87,NA,NA,No FAC
2021,Sd56ac562,93.75,91.5,78,NA,NA,No FAC
2021,Saade1734,71.38,NA,77,NA,NA,No FAC
2021,S72c22907,100,100,96,NA,NA,No FAC
2021,Sf49e78c6,96,90.75,94,NA,NA,No FAC
2021,Sb656c6bf,57,66.5,67,NA,NA,No FAC
2021,S4c6afaf1,86,62.75,59,NA,65,FAC
2021,S89cfc398,94,84,77,NA,NA,No FAC
2021,Sac93e025,77.5,NA,NA,NA,76,FAC
2021,S93f30ade,93.75,87,84,NA,NA,No FAC
2021,S37c32a21,87.25,NA,NA,NA,NA,No FAC
2021,Sf89d56dc,84.5,NA,87,NA,NA,No FAC
2021,Sbb092e1d,92,NA,79,NA,NA,No FAC
2021,Sc9808fc9,95,97.5,92,NA,NA,No FAC
2021,S45c18167,61.38,87.5,69,NA,NA,No FAC
2021,Sa4b15087,100,97,64,NA,NA,No FAC
2021,S47bf9c93,70.88,66,71,NA,NA,No FAC
2021,Sf88a4aa4,78.25,54,76,NA,NA,No FAC
2021,S53ad97ee,97,77.75,92,NA,100,FAC
2021,S5a0a8ffe,10,66.5,59,NA,14,FAC
2021,S4019dcb7,65.38,45,70,NA,59,FAC
2021,S56e4d701,62,NA,79,NA,68,FAC
2021,S2e6c7287,83,73.25,89,NA,NA,No FAC
2021,S9d1166e1,70,71,73,NA,NA,No FAC
2021,S39bf2f66,81,84,81,NA,NA,No FAC
2021,S33df7380,94,86.88,74,NA,NA,No FAC
2021,Sfc9bce95,95,97,77,NA,NA,No FAC
2021,Sf17a8a5c,81.5,66.5,77,NA,NA,No FAC
2021,Sa459f9ef,84,50,60,NA,12,FAC
2021,Sb595e3d2,87,84,81,NA,NA,No FAC
2021,S7947bf2d,80.75,NA,81,NA,NA,No FAC
2021,S817eec89,84,73.25,78,NA,96,FAC
2021,Sdfec9523,87,NA,NA,NA,NA,No FAC
2021,S4b81b589,30,NA,75,NA,NA,No FAC
2021,S0c7c5907,85.63,94.38,83,NA,NA,No FAC
2021,S98f3ffd3,70.88,49.5,68,NA,50,FAC
2021,Sa6ecfc5c,80.25,71.5,85,NA,79,FAC
2021,S05facb6f,75,65.5,73,NA,NA,No FAC
2021,S640f8d80,65.75,82.75,70,NA,NA,No FAC
2021,Sd0ebe785,84.25,NA,NA,NA,NA,No FAC
2021,Se0de9f9c,89,NA,NA,NA,80,FAC
2021,Scbff2048,87,92,96,NA,NA,No FAC
2021,S1160a8e0,73.75,43.5,66,NA,61,FAC
2021,S099e002c,84,42,81,NA,NA,No FAC
2021,S9d0306f0,72.25,76,69,NA,NA,No FAC
2021,S33865c3e,51.25,NA,NA,NA,NA,No FAC
2021,Sa725ff9b,66.5,62.75,69,NA,65,FAC
2021,S1bc8fb80,81.25,63,71,NA,NA,No FAC
2021,Sc005549a,90,NA,82,NA,NA,No FAC
2021,Se0da1926,71,79.5,91,NA,NA,No FAC
2021,S79dc6646,85.75,NA,NA,NA,62,FAC
2021,S8902c9b5,67.5,67,77,NA,NA,No FAC
2021,S14a594c7,82,65,74,NA,NA,No FAC
2021,S03266584,66.25,NA,53,NA,NA,No FAC
2021,S4df4d0a3,91.13,78.25,80,NA,NA,No FAC
2021,Se8e39edc,57.5,NA,NA,NA,NA,No FAC
2021,S172ff626,81.5,NA,NA,NA,NA,No FAC
2021,S52823b6a,82,76.25,85,NA,NA,No FAC
2021,S24e6f4f8,89,80.75,75,NA,NA,No FAC
2021,S5dd4dfa4,91.5,53.25,84,NA,86,FAC
2021,Se5bde333,74.5,60.25,69,NA,NA,No FAC
2021,S5c0a75a3,66.25,NA,73,NA,NA,No FAC
2021,S319423cf,95.75,99,87,NA,NA,No FAC
2021,Sfd490b77,85,87,83,NA,NA,No FAC
2021,Sbba01ad2,97,90.75,72,NA,NA,No FAC
2021,S51b5a4f4,71.13,77.63,70,NA,NA,No FAC
2021,Sd1652139,66.25,74.75,77,NA,NA,No FAC
2021,S4a4edde6,63.13,66.75,62,NA,NA,No FAC
2021,S0797715e,40.88,NA,77,NA,NA,No FAC
2021,S22f4012a,55.75,NA,NA,NA,NA,No FAC
2021,Sfcedbb3d,59,35,74,NA,NA,No FAC
2021,S01492a88,97,85.63,96,NA,NA,No FAC
2021,S57cc0ddf,62.5,NA,NA,NA,NA,No FAC
2021,Sedf4cf71,68,NA,69,NA,50,FAC
2021,S28eca6f0,81.88,86.25,71,NA,NA,No FAC
2021,S809f2840,30,NA,62,NA,NA,No FAC
2021,Sbf0254d3,36.25,NA,52,NA,NA,No FAC
2021,S66f96665,82,97.5,79,NA,NA,No FAC
2021,S8d259322,76.5,NA,67,NA,NA,No FAC
2021,S7b28c355,90.75,91.38,41,NA,NA,No FAC
2021,S5c75c9a1,77.5,42,0,NA,49,FAC
2021,S40fbef71,47.13,36.5,59,NA,NA,No FAC
2021,Scd361e24,89,58.5,82,NA,72,FAC
2021,S4aa5c0ab,85.75,74,69,NA,NA,No FAC
2021,Se2c72f97,92,92.13,67,NA,NA,No FAC
2021,S3012d879,97,97,79,NA,NA,No FAC
2021,S9b2855a0,98.13,87.25,65,NA,NA,No FAC
2021,Sa1cff404,97,NA,94,NA,NA,No FAC
2021,S72827f17,100,100,99,NA,NA,No FAC
2021,S9bede828,90,NA,66,NA,NA,No FAC
2021,S0f8a4470,85,68.13,77,NA,NA,No FAC
2021,Sa494e59e,76.5,NA,NA,NA,NA,No FAC
2021,S2d887623,88.88,71,83,NA,79,FAC
2021,Sdda6bb63,67,29.5,61,NA,NA,No FAC
2021,S9562a979,79.38,66.88,70,NA,NA,No FAC
2021,Sbc415d84,58.38,58.25,61,NA,NA,No FAC
2021,Sccbe08fb,95.25,84.13,84,NA,NA,No FAC
2021,Sfa1dab6c,66,NA,78,NA,NA,No FAC
2021,Sb6be312d,95.75,94.5,88,NA,NA,No FAC
2021,S32e27f0c,77.13,72.13,74,NA,NA,No FAC
2021,Sc215ed22,100,100,94,NA,NA,No FAC
2021,Sc0a46e2b,94,75,97,NA,NA,No FAC
2021,Sa78a47dd,82,48.75,82,NA,NA,No FAC
2021,Se9871e0a,90,78.38,82,NA,NA,No FAC
2021,S5e9cdb00,67.75,24.5,26,NA,13,FAC
2021,Sc58542c4,98.13,85,87,NA,NA,No FAC
2021,S01dd87a4,82,87,77,NA,NA,No FAC
2021,S18286fc2,68.5,53.25,67,NA,NA,No FAC
2021,S0728cca4,65,77.5,74,NA,NA,No FAC
2021,S6c0033fd,61.88,NA,51,NA,NA,No FAC
2021,S1da51dd7,65.88,65,57,NA,NA,No FAC
2021,S159545db,81,73.75,74,NA,NA,No FAC
2021,S8cdae1c4,65,77.5,53,NA,NA,No FAC
